internal_id	species_name	base_hp	base_attack	base_defense	base_speed	base_sp_attack	base_sp_defense	bst	type1	type2	catch_rate	exp_yield	ev_hp	ev_attack	ev_defense	ev_speed	ev_sp_attack	ev_sp_defense	ev_reserved	item_common	item_rare	gender_ratio	egg_cycles	base_friendship	growth_rate	egg_group1	egg_group2	ability1	ability2	safari_zone_flee_rate	body_color	no_flip	padding_hex
19	RATTATA	30	56	35	72	25	35	253	0	0	255	57	0	0	0	1	0	0	0	0	0	127	15	70	0	5	5	50	62	0	6	0	0000
20	RATICATE	55	81	60	97	50	70	413	0	0	127	116	0	0	0	2	0	0	0	0	0	127	15	70	0	5	5	50	62	0	5	0	0000
21	SPEAROW	40	60	30	70	31	31	262	0	2	255	58	0	0	0	1	0	0	0	0	0	127	15	70	0	4	4	51	0	0	5	0	0000
22	FEAROW	65	90	65	100	61	61	442	0	2	90	162	0	0	0	2	0	0	0	0	210	127	15	70	0	4	4	51	0	0	5	0	0000
23	EKANS	35	60	44	55	40	54	288	3	3	255	62	0	1	0	0	0	0	0	0	0	127	20	70	0	5	14	22	61	0	6	0	0000
24	ARBOK	60	85	69	80	65	79	438	3	3	90	147	0	2	0	0	0	0	0	0	0	127	20	70	0	5	14	22	61	0	6	0	0000
25	PIKACHU	35	55	30	90	50	40	300	13	13	190	82	0	0	0	2	0	0	0	139	202	127	10	70	0	5	6	9	0	6	2	0	0000
26	RAICHU	60	90	55	100	90	80	475	13	13	75	122	0	0	0	3	0	0	0	0	139	127	10	70	0	5	6	9	0	0	2	0	0000
27	SANDSHREW	50	75	85	40	20	30	300	4	4	255	93	0	0	1	0	0	0	0	0	183	127	20	70	0	5	5	8	0	0	2	0	0000
28	SANDSLASH	75	100	110	65	45	55	450	4	4	90	163	0	0	2	0	0	0	0	0	183	127	20	70	0	5	5	8	0	0	2	0	0000
29	NIDORAN♀	55	47	52	41	40	40	275	3	3	235	59	1	0	0	0	0	0	0	0	0	254	20	70	3	1	5	38	0	0	1	0	0000
30	NIDORINA	70	62	67	56	55	55	365	3	3	120	117	2	0	0	0	0	0	0	0	0	254	20	70	3	15	15	38	0	0	1	0	0000
31	NIDOQUEEN	90	82	87	76	75	85	495	3	4	45	194	3	0	0	0	0	0	0	0	0	254	20	70	3	15	15	38	0	0	1	0	0000
32	NIDORAN♂	46	57	40	50	40	40	273	3	3	235	60	0	1	0	0	0	0	0	0	0	0	20	70	3	1	5	38	0	0	6	0	0000
33	NIDORINO	61	72	57	65	55	55	365	3	3	120	118	0	2	0	0	0	0	0	0	0	0	20	70	3	1	5	38	0	0	6	0	0000
34	NIDOKING	81	92	77	85	85	75	495	3	4	45	195	0	3	0	0	0	0	0	0	0	0	20	70	3	1	5	38	0	0	6	0	0000
35	CLEFAIRY	70	45	48	35	60	65	323	0	0	150	68	2	0	0	0	0	0	0	138	94	191	10	140	4	6	6	56	0	0	9	0	0000
36	CLEFABLE	95	70	73	60	85	90	473	0	0	25	129	3	0	0	0	0	0	0	138	94	191	10	140	4	6	6	56	0	0	9	0	0000
37	VULPIX	38	41	40	65	50	65	299	10	10	190	63	0	0	0	1	0	0	0	136	136	191	20	70	0	5	5	18	0	0	5	0	0000
38	NINETALES	73	76	75	100	81	100	505	10	10	75	178	0	0	0	1	0	1	0	136	136	191	20	70	0	5	5	18	0	0	2	0	0000
39	JIGGLYPUFF	115	45	20	20	45	25	270	0	0	170	76	2	0	0	0	0	0	0	0	0	191	10	70	4	6	6	56	0	0	9	0	0000
40	WIGGLYTUFF	140	70	45	45	75	50	425	0	0	50	109	3	0	0	0	0	0	0	0	0	191	10	70	4	6	6	56	0	0	9	0	0000
41	ZUBAT	40	45	35	55	30	40	245	3	2	255	54	0	0	0	1	0	0	0	0	0	127	15	70	0	4	4	39	0	0	6	0	0000
42	GOLBAT	75	80	70	90	65	75	455	3	2	90	171	0	0	0	2	0	0	0	0	0	127	15	70	0	4	4	39	0	0	6	0	0000
43	ODDISH	45	50	55	30	75	65	320	12	3	255	78	0	0	0	0	1	0	0	0	0	127	20	70	3	7	7	34	0	4	1	0	0000
44	GLOOM	60	65	70	40	85	75	395	12	3	120	132	0	0	0	0	2	0	0	0	0	127	20	70	3	7	7	34	0	6	1	0	0000
45	VILEPLUME	75	80	85	50	100	90	480	12	3	45	184	0	0	0	0	3	0	0	0	0	127	20	70	3	7	7	34	0	0	0	0	0000
46	PARAS	35	70	55	25	45	55	285	6	12	190	70	0	1	0	0	0	0	0	103	104	127	20	70	0	3	7	27	0	0	0	0	0000
47	PARASECT	60	95	80	30	60	80	405	6	12	75	128	0	2	1	0	0	0	0	103	104	127	20	70	0	3	7	27	0	0	0	0	0000
48	VENONAT	60	55	50	45	40	55	305	6	3	190	75	0	0	0	0	0	1	0	0	0	127	20	70	0	3	3	14	0	0	6	0	0000
49	VENOMOTH	70	65	60	90	90	75	450	6	3	75	138	0	0	0	1	1	0	0	0	0	127	20	70	0	3	3	19	0	0	6	0	0000
50	DIGLETT	10	55	25	95	35	45	265	4	4	255	81	0	0	0	1	0	0	0	0	0	127	20	70	0	5	5	8	71	0	5	0	0000
51	DUGTRIO	35	80	50	120	50	70	405	4	4	50	153	0	0	0	2	0	0	0	0	0	127	20	70	0	5	5	8	71	0	5	0	0000
52	MEOWTH	40	45	35	90	40	40	290	0	0	255	69	0	0	0	1	0	0	0	0	0	127	20	70	0	5	5	53	0	0	2	0	0000
53	PERSIAN	65	70	60	115	65	65	440	0	0	90	148	0	0	0	2	0	0	0	0	0	127	20	70	0	5	5	7	0	0	2	0	0000
54	PSYDUCK	50	52	48	55	65	50	320	11	11	190	80	0	0	0	0	1	0	0	0	0	127	20	70	0	2	5	6	13	6	2	0	0000
55	GOLDUCK	80	82	78	85	95	80	500	11	11	75	174	0	0	0	0	2	0	0	0	0	127	20	70	0	2	5	6	13	8	1	0	0000
56	MANKEY	40	80	35	70	35	45	305	1	1	190	74	0	1	0	0	0	0	0	0	0	127	20	70	0	5	5	72	0	0	5	0	0000
57	PRIMEAPE	65	105	60	95	60	70	455	1	1	75	149	0	2	0	0	0	0	0	0	0	127	20	70	0	5	5	72	0	0	5	0	0000
58	GROWLITHE	55	70	45	60	70	50	350	10	10	190	91	0	1	0	0	0	0	0	136	136	63	20	70	5	5	5	22	18	0	5	0	0000
59	ARCANINE	90	110	80	95	100	80	555	10	10	75	213	0	2	0	0	0	0	0	136	136	63	20	70	5	5	5	22	18	0	5	0	0000
60	POLIWAG	40	50	40	90	40	40	300	11	11	255	77	0	0	0	1	0	0	0	0	0	127	20	70	3	2	2	11	6	0	1	1	0000
61	POLIWHIRL	65	65	65	90	50	50	385	11	11	120	131	0	0	0	2	0	0	0	0	187	127	20	70	3	2	2	11	6	0	1	1	0000
62	POLIWRATH	90	85	95	70	70	90	500	11	1	45	185	0	0	3	0	0	0	0	0	187	127	20	70	3	2	2	11	6	0	1	1	0000
63	ABRA	25	20	15	90	105	55	310	14	14	200	73	0	0	0	0	1	0	0	0	214	63	20	70	3	8	8	28	39	0	5	0	0000
64	KADABRA	40	35	30	105	120	70	400	14	14	100	145	0	0	0	0	2	0	0	0	214	63	20	70	3	8	8	28	39	0	5	0	0000
65	ALAKAZAM	55	50	45	120	135	85	490	14	14	50	186	0	0	0	0	3	0	0	0	214	63	20	70	3	8	8	28	39	0	5	0	0000
66	MACHOP	70	80	50	35	35	35	305	1	1	180	88	0	1	0	0	0	0	0	0	0	63	20	70	3	8	8	62	0	0	7	0	0000
67	MACHOKE	80	100	70	45	50	60	405	1	1	90	146	0	2	0	0	0	0	0	0	0	63	20	70	3	8	8	62	0	0	7	0	0000
68	MACHAMP	90	130	80	55	65	85	505	1	1	45	193	0	3	0	0	0	0	0	0	0	63	20	70	3	8	8	62	0	0	7	0	0000
69	BELLSPROUT	50	75	35	40	70	30	300	12	3	255	84	0	1	0	0	0	0	0	0	0	127	20	70	3	7	7	34	0	0	3	0	0000
70	WEEPINBELL	65	90	50	55	85	45	390	12	3	120	151	0	2	0	0	0	0	0	0	0	127	20	70	3	7	7	34	0	0	3	0	0000
71	VICTREEBEL	80	105	65	70	100	60	480	12	3	45	191	0	3	0	0	0	0	0	0	0	127	20	70	3	7	7	34	0	0	3	0	0000
72	TENTACOOL	40	40	35	70	50	100	335	11	3	190	105	0	0	0	0	0	1	0	0	0	127	20	70	5	9	9	29	64	0	1	0	0000
73	TENTACRUEL	80	70	65	100	80	120	515	11	3	60	205	0	0	0	0	0	2	0	0	0	127	20	70	5	9	9	29	64	0	1	0	0000
74	GEODUDE	40	80	100	20	30	30	300	5	4	255	86	0	0	1	0	0	0	0	0	195	127	15	70	3	10	10	69	5	4	5	0	0000
75	GRAVELER	55	95	115	35	45	45	390	5	4	120	134	0	0	2	0	0	0	0	0	195	127	15	70	3	10	10	69	5	0	5	0	0000
76	GOLEM	80	110	130	45	55	65	485	5	4	45	177	0	0	3	0	0	0	0	0	195	127	15	70	3	10	10	69	5	0	5	0	0000
77	PONYTA	50	85	55	90	65	65	410	10	10	190	152	0	0	0	1	0	0	0	0	0	127	20	70	0	5	5	50	18	0	2	0	0000
78	RAPIDASH	65	100	70	105	80	80	500	10	10	60	192	0	0	0	2	0	0	0	0	0	127	20	70	0	5	5	50	18	0	2	0	0000
79	SLOWPOKE	90	65	65	15	40	40	315	11	14	190	99	1	0	0	0	0	0	0	0	187	127	20	70	0	1	2	12	20	0	9	0	0000
80	SLOWBRO	95	75	110	30	100	80	490	11	14	75	164	0	0	2	0	0	0	0	0	187	127	20	70	0	1	2	12	20	0	9	0	0000
81	MAGNEMITE	25	35	70	45	95	55	325	13	8	190	89	0	0	0	0	1	0	0	0	199	255	20	70	0	10	10	42	5	0	7	0	0000
82	MAGNETON	50	60	95	70	120	70	465	13	8	60	161	0	0	0	0	2	0	0	0	199	255	20	70	0	10	10	42	5	0	7	0	0000
83	FARFETCH’D	52	65	55	60	58	62	352	0	2	45	94	0	1	0	0	0	0	0	0	225	127	20	70	0	4	5	51	39	0	5	0	0000
84	DODUO	35	85	45	75	35	35	310	0	2	190	96	0	1	0	0	0	0	0	0	210	127	20	70	0	4	4	50	48	8	5	0	0000
85	DODRIO	60	110	70	100	60	60	460	0	2	45	158	0	2	0	0	0	0	0	0	210	127	20	70	0	4	4	50	48	10	5	0	0000
86	SEEL	65	45	55	45	45	70	325	11	11	190	100	0	0	0	0	0	1	0	0	0	127	20	70	0	2	5	47	0	0	8	0	0000
87	DEWGONG	90	70	80	70	70	95	475	11	15	75	176	0	0	0	0	0	2	0	0	0	127	20	70	0	2	5	47	0	0	8	0	0000
88	GRIMER	80	80	50	25	40	50	325	3	3	190	90	1	0	0	0	0	0	0	0	110	127	20	70	0	11	11	1	60	0	6	0	0000
89	MUK	105	105	75	50	65	100	500	3	3	75	157	1	1	0	0	0	0	0	0	110	127	20	70	0	11	11	1	60	0	6	0	0000
90	SHELLDER	30	65	100	40	45	25	305	11	11	190	97	0	0	1	0	0	0	0	106	107	127	20	70	5	9	9	75	0	0	6	0	0000
91	CLOYSTER	50	95	180	70	85	45	525	11	15	60	203	0	0	2	0	0	0	0	106	107	127	20	70	5	9	9	75	0	0	6	0	0000
92	GASTLY	30	35	30	80	100	35	310	7	3	190	95	0	0	0	0	1	0	0	0	0	127	20	70	3	11	11	26	0	0	6	0	0000
93	HAUNTER	45	50	45	95	115	55	405	7	3	90	126	0	0	0	0	2	0	0	0	0	127	20	70	3	11	11	26	0	0	6	0	0000
94	GENGAR	60	65	60	110	130	75	500	7	3	45	190	0	0	0	0	3	0	0	0	0	127	20	70	3	11	11	26	0	0	6	0	0000
95	ONIX	35	45	160	70	30	45	385	5	4	45	108	0	0	1	0	0	0	0	0	0	127	25	70	0	10	10	69	5	0	7	0	0000
96	DROWZEE	60	48	45	42	43	90	328	14	14	190	102	0	0	0	0	0	1	0	0	0	127	20	70	0	8	8	15	0	0	2	0	0000
97	HYPNO	85	73	70	67	73	115	483	14	14	75	165	0	0	0	0	0	2	0	0	0	127	20	70	0	8	8	15	0	0	2	0	0000
98	KRABBY	30	105	90	50	25	25	325	11	11	225	115	0	1	0	0	0	0	0	0	0	127	20	70	0	9	9	52	75	0	0	0	0000
99	KINGLER	55	130	115	75	50	50	475	11	11	60	206	0	2	0	0	0	0	0	0	0	127	20	70	0	9	9	52	75	0	0	1	0000
100	VOLTORB	40	30	50	100	55	55	330	13	13	190	103	0	0	0	1	0	0	0	0	0	255	20	70	0	10	10	43	9	0	0	0	0000
101	ELECTRODE	60	50	70	140	80	80	480	13	13	60	150	0	0	0	2	0	0	0	0	0	255	20	70	0	10	10	43	9	0	0	0	0000
102	EXEGGCUTE	60	40	80	40	60	45	325	12	14	90	98	0	0	1	0	0	0	0	0	0	127	20	70	5	7	7	34	0	0	9	0	0000
