move_id,effect,power,type,accuracy,pp,secondary_effect_chance,target,priority,flags,padding_hex,raw_hex
87,152,120,13,70,10,30,0,0,18,000000,98780D460A1E000012000000
88,0,50,5,90,15,0,0,0,50,000000,0032055A0F00000032000000
89,147,100,4,100,10,0,32,0,50,000000,936404640A00200032000000
90,38,1,4,30,5,0,0,0,18,000000,2601041E0500000012000000
91,155,60,4,100,10,0,0,0,51,000000,9B3C04640A00000033000000
92,33,0,3,85,10,100,0,0,22,000000,210003550A64000016000000
93,76,50,14,100,25,10,0,0,18,000000,4C320E64190A000012000000
94,72,90,14,100,10,10,0,0,18,000000,485A0E640A0A000012000000
95,1,0,14,60,20,0,0,0,22,000000,01000E3C1400000016000000
96,10,0,14,0,40,0,16,0,8,000000,0A000E002800100008000000
97,52,0,14,0,30,0,16,0,8,000000,34000E001E00100008000000
98,103,40,0,100,30,0,0,1,51,000000,672800641E00000133000000
99,81,20,0,100,20,0,0,0,51,000000,511400641400000033000000
100,153,0,14,0,20,0,16,0,0,000000,99000E001400100000000000
101,87,1,7,100,15,0,0,0,50,000000,570107640F00000032000000
102,82,0,0,100,10,0,0,0,2,000000,520000640A00000002000000
103,59,0,0,85,40,0,0,0,22,000000,3B0000552800000016000000
104,16,0,0,0,15,0,16,0,8,000000,100000000F00100008000000
105,32,0,0,0,20,0,16,0,8,000000,200000001400100008000000
106,11,0,0,0,30,0,16,0,8,000000,0B0000001E00100008000000
107,108,0,0,0,20,0,16,0,8,000000,6C0000001400100008000000
108,23,0,0,100,20,0,0,0,22,000000,170000641400000016000000
109,49,0,7,100,10,0,0,0,22,000000,310007640A00000016000000
110,11,0,11,0,40,0,16,0,8,000000,0B000B002800100008000000
111,156,0,0,0,40,0,16,0,8,000000,9C0000002800100008000000
112,51,0,14,0,30,0,16,0,8,000000,33000E001E00100008000000
113,35,0,14,0,30,0,16,0,8,000000,23000E001E00100008000000
114,25,0,15,0,30,0,16,0,2,000000,19000F001E00100002000000
115,65,0,14,0,20,0,16,0,8,000000,41000E001400100008000000
116,47,0,0,0,30,0,16,0,8,000000,2F0000001E00100008000000
117,26,1,0,100,10,0,16,0,35,000000,1A0100640A00100023000000
118,83,0,0,0,10,0,1,0,0,000000,530000000A00010000000000
119,9,0,2,0,20,0,1,0,0,000000,090002001400010000000000
120,7,200,0,100,5,0,32,0,50,000000,07C800640500200032000000
121,0,100,0,75,10,0,0,0,50,000000,0064004B0A00000032000000
122,6,20,7,100,30,30,0,0,19,000000,061407641E1E000013000000
123,2,20,3,70,20,40,0,0,18,000000,021403461428000012000000
124,2,65,3,100,20,30,0,0,18,000000,02410364141E000012000000
125,31,65,4,85,20,10,0,0,18,000000,1F410455140A000012000000
126,4,120,10,85,5,10,0,0,18,000000,04780A55050A000012000000
127,0,80,11,100,15,0,0,0,51,000000,00500B640F00000033000000
128,42,35,11,75,10,100,0,0,51,000000,2A230B4B0A64000033000000
129,17,60,0,0,20,0,8,0,50,000000,113C00001400080032000000
130,145,100,0,100,15,0,0,0,51,000000,916400640F00000033000000
131,29,20,0,100,15,0,0,0,50,000000,1D1400640F00000032000000
132,70,10,0,100,35,10,0,0,19,000000,460A0064230A000013000000
133,54,0,14,0,20,0,16,0,8,000000,36000E001400100008000000
134,23,0,14,80,15,0,0,0,18,000000,17000E500F00000012000000
135,157,0,0,100,10,0,16,0,24,000000,9D0000640A00100018000000
136,45,85,1,90,20,0,0,0,51,000000,2D55015A1400000033000000
137,67,0,0,75,30,0,0,0,22,000000,4300004B1E00000016000000
138,8,100,14,100,15,0,0,0,18,000000,08640E640F00000012000000
139,66,0,3,55,40,0,0,0,22,000000,420003372800000016000000
140,29,15,0,85,20,0,0,0,50,000000,1D0F00551400000032000000
141,3,20,6,100,15,0,0,0,19,000000,031406640F00000013000000
142,1,0,0,75,10,0,0,0,22,000000,0100004B0A00000016000000
143,75,140,2,90,5,30,0,0,50,000000,4B8C025A051E000032000000
144,57,0,0,0,10,0,0,0,0,000000,390000000A00000000000000
145,70,20,11,100,30,10,8,0,18,000000,46140B641E0A080012000000
146,76,70,0,100,10,20,0,0,19,000000,4C4600640A14000013000000
147,1,0,12,100,15,0,0,0,22,000000,01000C640F00000016000000
148,23,0,0,70,20,0,0,0,22,000000,170000461400000016000000
149,88,1,14,80,15,0,0,0,50,000000,58010E500F00000032000000
150,85,0,0,0,40,0,16,0,0,000000,550000002800100000000000
151,51,0,3,0,40,0,16,0,8,000000,330003002800100008000000
152,43,90,11,85,10,0,0,0,51,000000,2B5A0B550A00000033000000
153,7,250,0,100,5,0,32,0,50,000000,07FA00640500200032000000
154,29,18,0,80,15,0,0,0,51,000000,1D1200500F00000033000000
155,44,50,4,90,10,0,0,0,50,000000,2C32045A0A00000032000000
156,37,0,14,0,10,0,16,0,8,000000,25000E000A00100008000000
157,31,75,5,90,10,30,8,0,18,000000,1F4B055A0A1E080012000000
158,31,80,0,90,15,10,0,0,19,000000,1F50005A0F0A000013000000
159,10,0,0,0,30,0,16,0,8,000000,0A0000001E00100008000000
160,30,0,0,0,30,0,16,0,0,000000,1E0000001E00100000000000
161,36,80,0,100,10,20,0,0,18,000000,245000640A14000012000000
162,40,1,0,90,10,0,0,0,19,000000,2801005A0A00000013000000
163,43,70,0,100,20,0,0,0,51,000000,2B4600641400000033000000
164,79,0,0,0,10,0,16,0,8,000000,4F0000000A00100008000000
165,48,50,0,100,1,0,0,0,51,000000,303200640100000033000000
166,95,0,0,0,1,0,0,0,0,000000,5F0000000100000000000000
167,104,10,1,90,10,0,0,0,51,000000,680A015A0A00000033000000
168,105,40,17,100,10,100,0,0,19,000000,692811640A64000013000000
169,106,0,6,100,10,0,0,0,22,000000,6A0006640A00000016000000
170,94,0,0,100,5,0,0,0,18,000000,5E0000640500000012000000
171,107,0,7,100,15,0,0,0,18,000000,6B0007640F00000012000000
172,125,60,10,100,25,10,0,0,19,000000,7D3C0A64190A000013000000
173,92,40,0,100,15,30,0,0,50,000000,5C2800640F1E000032000000
174,109,0,9,0,10,0,0,0,0,000000,6D0009000A00000000000000
175,99,1,0,100,15,0,0,0,51,000000,630100640F00000033000000
176,93,0,0,100,30,0,16,0,0,000000,5D0000641E00100000000000
