slot_id,item_id_field,price,hold_effect,hold_effect_param,importance,registrability,pocket,type,battle_usage,secondary_id
115,0,0,0,0,0,0,1,4,0,0
116,0,0,0,0,0,0,1,4,0,0
117,0,0,0,0,0,0,1,4,0,0
118,0,0,0,0,0,0,1,4,0,0
119,0,0,0,0,0,0,1,4,0,0
120,0,0,0,0,0,0,1,4,0,0
121,121,50,0,0,0,0,1,0,0,0
122,122,50,0,0,0,0,1,0,0,1
123,123,50,0,0,0,0,1,0,0,2
124,124,50,0,0,0,0,1,0,0,3
125,125,50,0,0,0,0,1,0,0,4
126,126,50,0,0,0,0,1,0,0,5
127,127,50,0,0,0,0,1,0,0,6
128,128,50,0,0,0,0,1,0,0,7
129,129,50,0,0,0,0,1,0,0,8
130,130,50,0,0,0,0,1,0,0,9
131,131,50,0,0,0,0,1,0,0,10
132,132,0,0,0,0,0,1,0,0,11
133,133,20,2,0,0,0,4,1,1,0
134,134,20,3,0,0,0,4,1,1,0
135,135,20,4,0,0,0,4,1,1,0
136,136,20,5,0,0,0,4,1,1,0
137,137,20,6,0,0,0,4,1,1,0
138,138,20,7,10,0,0,4,1,1,0
139,139,20,1,10,0,0,4,1,1,0
140,140,20,8,0,0,0,4,4,1,0
141,141,20,9,0,0,0,4,1,1,0
142,142,20,1,30,0,0,4,1,1,0
143,143,20,10,8,0,0,4,4,0,0
144,144,20,11,8,0,0,4,4,0,0
145,145,20,12,8,0,0,4,4,0,0
146,146,20,13,8,0,0,4,4,0,0
147,147,20,14,8,0,0,4,4,0,0
148,148,20,0,0,0,0,4,4,0,0
149,149,20,0,0,0,0,4,4,0,0
150,150,20,0,0,0,0,4,4,0,0
151,151,20,0,0,0,0,4,4,0,0
152,152,20,0,0,0,0,4,4,0,0
153,153,20,0,0,0,0,4,1,0,0
154,154,20,0,0,0,0,4,1,0,0
155,155,20,0,0,0,0,4,1,0,0
156,156,20,0,0,0,0,4,1,0,0
157,157,20,0,0,0,0,4,1,0,0
158,158,20,0,0,0,0,4,1,0,0
159,159,20,0,0,0,0,4,4,0,0
160,160,20,0,0,0,0,4,4,0,0
161,161,20,0,0,0,0,4,4,0,0
162,162,20,0,0,0,0,4,4,0,0
163,163,20,0,0,0,0,4,4,0,0
164,164,20,0,0,0,0,4,4,0,0
165,165,20,0,0,0,0,4,4,0,0
166,166,20,0,0,0,0,4,4,0,0
167,167,20,0,0,0,0,4,4,0,0
168,168,20,15,4,0,0,4,4,0,0
169,169,20,16,4,0,0,4,4,0,0
170,170,20,17,4,0,0,4,4,0,0
171,171,20,18,4,0,0,4,4,0,0
172,172,20,19,4,0,0,4,4,0,0
173,173,20,20,4,0,0,4,4,0,0
174,174,20,21,4,0,0,4,4,0,0
175,175,20,0,0,0,0,4,4,1,0
176,0,0,0,0,0,0,1,4,0,0
177,0,0,0,0,0,0,1,4,0,0
178,0,0,0,0,0,0,1,4,0,0
179,179,10,22,10,0,0,1,4,0,0
180,180,100,23,0,0,0,1,4,0,0
181,181,3000,24,0,0,0,1,4,0,0
182,182,3000,25,0,0,0,1,4,0,0
183,183,100,26,20,0,0,1,4,0,0
184,184,100,27,0,0,0,1,4,0,0
185,185,100,28,0,0,0,1,4,0,0
186,186,100,29,0,0,0,1,4,0,0
187,187,100,30,10,0,0,1,4,0,0
188,188,100,31,10,0,0,1,4,0,0
189,189,100,32,10,0,0,1,4,0,0
190,190,200,33,0,0,0,1,4,0,0
191,191,200,34,0,0,0,1,4,0,0
192,192,200,35,0,0,0,1,4,0,0
193,193,200,36,0,0,0,1,4,0,0
194,194,200,37,0,0,0,1,4,0,0
195,195,200,38,0,0,0,1,4,0,0
196,196,200,39,10,0,0,1,4,0,0
197,197,200,40,0,0,0,1,4,0,0
198,198,200,41,0,0,0,1,4,0,0
199,199,100,42,10,0,0,1,4,0,0
200,200,200,43,10,0,0,1,4,0,0
201,201,2100,44,10,0,0,1,4,0,0
202,202,100,45,0,0,0,1,4,0,0
203,203,100,46,10,0,0,1,4,0,0
204,204,100,47,10,0,0,1,4,0,0
205,205,100,48,10,0,0,1,4,0,0
206,206,100,49,10,0,0,1,4,0,0
207,207,100,50,10,0,0,1,4,0,0
208,208,100,51,10,0,0,1,4,0,0
209,209,100,52,10,0,0,1,4,0,0
210,210,100,53,10,0,0,1,4,0,0
211,211,100,54,10,0,0,1,4,0,0
212,212,100,55,10,0,0,1,4,0,0
213,213,100,56,10,0,0,1,4,0,0
214,214,100,57,10,0,0,1,4,0,0
215,215,9800,58,10,0,0,1,4,0,0
216,216,100,59,10,0,0,1,4,0,0
217,217,100,60,10,0,0,1,4,0,0
218,218,2100,61,0,0,0,1,4,0,0
219,219,200,62,8,0,0,1,4,0,0
220,220,9600,52,5,0,0,1,4,0,0
221,221,9600,22,5,0,0,1,4,0,0
222,222,10,63,0,0,0,1,4,0,0
223,223,10,64,0,0,0,1,4,0,0
224,224,500,65,0,0,0,1,4,0,0
225,225,200,66,0,0,0,1,4,0,0
226,0,0,0,0,0,0,1,4,0,0
227,0,0,0,0,0,0,1,4,0,0
228,0,0,0,0,0,0,1,4,0,0
229,0,0,0,0,0,0,1,4,0,0
230,0,0,0,0,0,0,1,4,0,0
231,0,0,0,0,0,0,1,4,0,0
232,0,0,0,0,0,0,1,4,0,0
233,0,0,0,0,0,0,1,4,0,0
234,0,0,0,0,0,0,1,4,0,0
235,0,0,0,0,0,0,1,4,0,0
236,0,0,0,0,0,0,1,4,0,0
237,0,0,0,0,0,0,1,4,0,0
238,0,0,0,0,0,0,1,4,0,0
239,0,0,0,0,0,0,1,4,0,0
240,0,0,0,0,0,0,1,4,0,0
241,0,0,0,0,0,0,1,4,0,0
242,0,0,0,0,0,0,1,4,0,0
243,0,0,0,0,0,0,1,4,0,0
244,0,0,0,0,0,0,1,4,0,0
245,0,0,0,0,0,0,1,4,0,0
246,0,0,0,0,0,0,1,4,0,0
247,0,0,0,0,0,0,1,4,0,0
248,0,0,0,0,0,0,1,4,0,0
249,0,0,0,0,0,0,1,4,0,0
250,0,0,0,0,0,0,1,4,0,0
251,0,0,0,0,0,0,1,4,0,0
252,0,0,0,0,0,0,1,4,0,0
253,0,0,0,0,0,0,1,4,0,0
254,254,100,0,0,0,0,1,4,0,0
255,255,100,0,0,0,0,1,4,0,0
256,256,100,0,0,0,0,1,4,0,0
257,257,100,0,0,0,0,1,4,0,0
258,258,100,0,0,0,0,1,4,0,0
259,259,0,0,0,1,1,5,2,0,0
260,260,0,0,0,1,0,5,4,0,0
261,261,0,0,0,1,1,5,2,0,0
262,262,0,0,0,1,1,5,2,0,0
263,263,0,0,0,1,1,5,2,0,1
264,264,0,0,0,1,1,5,2,0,2
265,265,0,0,0,1,0,5,4,0,0
266,266,0,0,0,1,0,5,4,0,0
267,0,0,0,0,0,0,1,4,0,0
268,268,0,0,0,1,0,5,2,0,0
269,269,0,0,0,2,0,5,4,0,0
270,270,0,0,0,1,0,5,4,0,0
271,271,0,0,0,1,0,5,4,0,0
272,272,0,0,0,1,1,5,2,0,1
273,273,0,0,0,1,1,5,3,0,0
274,274,0,0,0,2,0,5,4,0,0
275,275,0,0,0,1,0,5,4,0,1
276,276,0,0,0,2,0,5,4,0,0
277,277,0,0,0,2,0,5,4,0,0
278,278,0,0,0,1,0,5,4,0,0
279,279,0,0,0,1,0,5,4,0,0
280,280,0,0,0,1,0,5,4,0,0
281,281,0,0,0,1,0,5,4,0,0
282,282,0,0,0,1,0,5,4,0,0
283,283,0,0,0,1,0,5,4,0,0
284,284,0,0,0,1,0,5,4,0,0
285,285,0,0,0,1,0,5,4,0,0
286,286,0,0,0,1,0,5,4,0,0
287,287,0,0,0,1,0,5,4,0,0
288,288,0,0,0,1,0,5,4,0,0
289,289,3000,0,0,0,0,3,1,0,0
290,290,3000,0,0,0,0,3,1,0,0
291,291,3000,0,0,0,0,3,1,0,0
292,292,3000,0,0,0,0,3,1,0,0
293,293,1000,0,0,0,0,3,1,0,0
294,294,3000,0,0,0,0,3,1,0,0
295,295,3000,0,0,0,0,3,1,0,0
296,296,3000,0,0,0,0,3,1,0,0
297,297,3000,0,0,0,0,3,1,0,0
298,298,3000,0,0,0,0,3,1,0,0
299,299,2000,0,0,0,0,3,1,0,0
300,300,3000,0,0,0,0,3,1,0,0
301,301,3000,0,0,0,0,3,1,0,0
302,302,5500,0,0,0,0,3,1,0,0
303,303,7500,0,0,0,0,3,1,0,0
304,304,3000,0,0,0,0,3,1,0,0
305,305,3000,0,0,0,0,3,1,0,0
306,306,2000,0,0,0,0,3,1,0,0
307,307,3000,0,0,0,0,3,1,0,0
308,308,3000,0,0,0,0,3,1,0,0
309,309,1000,0,0,0,0,3,1,0,0
310,310,3000,0,0,0,0,3,1,0,0
311,311,3000,0,0,0,0,3,1,0,0
312,312,3000,0,0,0,0,3,1,0,0
313,313,5500,0,0,0,0,3,1,0,0
314,314,3000,0,0,0,0,3,1,0,0
315,315,1000,0,0,0,0,3,1,0,0
316,316,2000,0,0,0,0,3,1,0,0
317,317,2000,0,0,0,0,3,1,0,0
318,318,3000,0,0,0,0,3,1,0,0
319,319,3000,0,0,0,0,3,1,0,0
320,320,2000,0,0,0,0,3,1,0,0
321,321,3000,0,0,0,0,3,1,0,0
322,322,3000,0,0,0,0,3,1,0,0
323,323,3000,0,0,0,0,3,1,0,0
324,324,1000,0,0,0,0,3,1,0,0
325,325,2000,0,0,0,0,3,1,0,0
326,326,5500,0,0,0,0,3,1,0,0
327,327,3000,0,0,0,0,3,1,0,0
328,328,3000,0,0,0,0,3,1,0,0
329,329,3000,0,0,0,0,3,1,0,0
330,330,3000,0,0,0,0,3,1,0,0
331,331,3000,0,0,0,0,3,1,0,0
332,332,3000,0,0,0,0,3,1,0,0
333,333,3000,0,0,0,0,3,1,0,0
334,334,3000,0,0,0,0,3,1,0,0
335,335,3000,0,0,0,0,3,1,0,0
336,336,3000,0,0,0,0,3,1,0,0
337,337,3000,0,0,0,0,3,1,0,0
338,338,3000,0,0,0,0,3,1,0,0
339,339,0,0,0,1,0,3,1,0,0
340,340,0,0,0,1,0,3,1,0,0
341,341,0,0,0,1,0,3,1,0,0
342,342,0,0,0,1,0,3,1,0,0
343,343,0,0,0,1,0,3,1,0,0
344,344,0,0,0,1,0,3,1,0,0
345,345,0,0,0,1,0,3,1,0,0
346,346,0,0,0,1,0,3,1,0,0
347,0,0,0,0,0,0,1,4,0,0
348,0,0,0,0,0,0,1,4,0,0
349,349,0,0,0,2,0,5,4,0,0
350,350,0,0,0,1,0,5,4,0,0
351,351,0,0,0,1,0,5,4,0,0
352,352,0,0,0,1,0,5,4,0,0
353,353,0,0,0,1,0,5,4,0,0
354,354,0,0,0,1,0,5,4,0,0
355,355,0,0,0,1,0,5,4,0,0
356,356,0,0,0,1,0,5,4,0,0
357,357,0,0,0,1,0,5,4,0,0
358,358,0,0,0,1,0,5,4,0,0
359,359,0,0,0,1,0,5,4,0,0
360,360,0,0,0,1,1,5,2,0,0
361,361,0,0,0,1,1,5,4,0,0
362,362,0,0,0,1,1,5,2,0,0
363,363,0,0,0,1,1,5,4,0,0
364,364,0,0,0,1,1,5,4,0,0
365,365,0,0,0,1,1,5,4,0,0
366,366,0,0,0,1,1,5,2,0,0
367,367,0,0,0,1,1,5,4,0,0
368,368,0,0,0,1,1,5,4,0,0
369,369,0,0,0,1,1,5,4,0,0
370,370,0,0,0,1,1,5,4,0,0
371,371,0,0,0,1,1,5,4,0,0
372,372,0,0,0,1,1,5,4,0,0
373,373,0,0,0,1,1,5,4,0,0
374,374,0,0,0,1,1,5,4,0,0
375,375,0,0,0,1,1,5,4,0,0
376,376,0,0,0,1,1,5,4,0,0
